s	scores
305387	[0.015348957121103648,0.008999588450577408,0.010738292180177666,-2.1551592286562368E-4,-0.03702833834809975,-0.016465441026603307,-0.0018994575426957848,-0.005316330674751225,-0.00711204515468864,-0.01717451837796311,0.010384575383763205,-0.03187508798911177,0.002711224571311981,-0.007881066898591733,0.004714908660091954,-0.0025173167601595277,-0.006599762682313397,0.01021889050792806,-0.0026692239436368007,-0.00443941291068707,0.007064282759600925,-0.008584380131237862,-0.00936894883334753,8.503377410947154E-5,-0.011877408011126533,-0.001844317560888802,0.0031493880614237367,0.004428256177958828,-0.00535582298681963,-4.854713347550943E-4]
351218	[0.020952973577410893,0.016333792430273365,0.02921328555736499,-0.007532913795096951,-0.050676273590187476,-0.01589103774463051,0.0017923174566609034,-0.020352314306079422,0.004002413342181148,0.009770364009553431,0.009237687313618476,-0.023175289849820088,0.0028866574676971726,-0.005138988839441148,0.002019045987196739,0.0020675264681559954,0.02894576212262276,0.003927373050546568,-0.005556855898941159,0.005196843651155422,-7.340773633158621E-4,0.007166111602089044,-0.0013958040309535208,-0.007941459983042914,0.006091699112242981,-0.0036629484909389814,-0.0014765263278911412,-0.007120282038291185,0.006791680476264791,5.996484316189374E-4]
371396	[0.02020559445607931,0.03752050039438255,0.042201095161407395,0.004024923452959109,-0.05681830341573219,-0.02604296236440577,-7.027897466838759E-4,-0.01875678816735395,-0.004316752708306341,0.010452388539849714,0.014250005834370878,-0.03216953513752983,4.8569905925041976E-4,0.0013200571497761979,0.0023341955694724816,0.007802169005517776,0.021733294238970705,-0.005839278634455155,-0.003235723430843904,-5.676054973773018E-4,0.0016926337701268922,-0.004457355992684865,-0.006928388507217808,0.0011480488715271556,0.0017215708355356497,-0.00581467539391748,-0.0125176093276655,-0.007386454749231183,0.008140962072307257,0.006320629482852218]
515084	[0.023373354950956902,0.01967335380493268,0.0439190468072211,0.009081048237682212,-0.0638216754407203,-0.014124548284447353,0.0019929458617685635,-0.02358070958184568,-0.01857816741066572,-0.002247387797675607,0.0038044900234828183,-0.043200970918739014,0.0037296914018832036,-0.008796148799764357,0.004543914330334833,-8.538185455321903E-5,0.04190871585442268,-0.008775111366993287,3.5789078172152023E-4,-0.0020793687333541754,0.0019295255159395572,0.0031165605984734574,0.004976098418631402,0.0010738018724252751,-0.004215521691801141,-0.0035596546551405453,-2.8097332282309113E-4,-0.002151044293445305,0.008890667342324646,-0.007705595075367735]
525943	[0.028867339264256452,0.03515396279591865,0.05455549899675121,-0.014775582884201582,-0.06236194627551905,-0.009112450751160179,-0.016911835866782104,-0.021868447669541765,-0.028095500915099807,-0.0038366956335809427,0.007329798079852157,-0.009920279978852708,0.007824953149050571,-0.005185066135024015,0.007935045135688372,0.003987171721294409,0.026716585122835798,-0.0048287047454086745,0.0037367940459654583,-7.190771895138542E-4,0.0063003905876869715,-0.003466152219099815,0.0011361212826114643,0.0050133498467937075,-0.009229793246185222,-0.0022258074710534074,-0.013536769889178221,-0.0038236733507989633,0.00535834151368683,-0.002579592626915358]
807622	[0.01997700218196257,0.01181271254865093,0.042843981218729024,0.0088441040470606,-0.058105969070727646,-0.019053299258310775,-0.010936567034208781,-0.019567044243038408,-0.0045580083952121465,-0.004899796382454822,0.0027799460167985666,-0.024602994040776413,0.0065118243982436345,-0.009159571401886142,0.0018740138771447654,0.001110079570689955,0.0018651191747509374,-0.014692198481413657,-0.001396088055386197,0.0033955321531535195,0.002919296232602556,-0.004812090949925238,-8.991128198572768E-4,0.002030616192085743,1.993270628811367E-4,-0.00812009153673308,-0.006075812461109418,-0.00516626002816563,0.0060326479889064475,-0.0018367337830665794]
817803	[0.02415501173431586,0.02648113084551043,0.049084998758635395,-0.005755685083195181,-0.06503499198418487,-0.015921599165427937,0.0010402679637079486,-0.027807403136652434,-0.012044302249078665,-0.00273703874010903,0.0035171222184987713,-0.029488755522498942,-0.008454068218228368,0.0024022214227589263,0.007670684138505336,-0.0024778170295463196,0.03183070841741844,-0.011324962401566021,-0.0012454408896770202,0.005549545795978442,-0.004216491909382096,-0.003964757923892351,-0.001295727165333872,-0.0066795846531516965,0.009165311208696639,-0.0038765753852947407,-0.007357317158727831,-0.006282558594328204,0.007290013435098898,-0.011453810966212225]
821425	[0.025101682871662045,0.018617659578841324,0.047452442545691066,0.010684740381681275,-0.05990197071831756,-0.012633934604928294,0.007985701565413984,-0.024025882885756477,-0.0050422715367965075,0.004822195723069998,0.016252569556894202,-0.029038676981955548,0.004353834431952253,-1.043448957704954E-4,0.0011297319182532808,0.0025744739016977307,0.00862128202276876,-0.015849367144795498,-0.005895763614833809,-0.0025620833743355185,0.0029620183759804164,-0.0015611063104239596,-0.006062089305108129,0.0038584174836273264,0.005082026718176769,-0.005813973887757472,-0.003163216985734799,-0.00633132640734416,0.011251384282979426,-0.0035409966605255924]
838338	[0.019343941737762056,0.012045169552602479,0.04117399357375322,0.012369287566656182,-0.05916839144086469,-0.010518603180994065,-0.009752257884403601,-0.026331352036286896,0.0036699540973722713,-0.0032264226754190784,0.010427553891831693,-0.03476671656407616,0.004441349530995931,-0.010103407184755348,0.005006838110466984,-5.638318345849892E-4,0.011657566535128219,-0.01412721369473519,-0.0012795214820481024,0.008754568531510304,-0.0024713475213072136,0.0060269096552315864,0.0056713934322289794,0.0037710276488541247,-0.002301486271436885,-0.002843055042973665,0.007383571195902781,-3.804982303177457E-4,0.0057023367466119195,-0.0024110409249157127]
959836	[0.02870039432376575,0.025996329021914278,0.049323897043893686,0.009852268961679334,-0.07222906283948667,-0.004960986091524295,-0.002162890304401056,-0.022863140138923994,0.01950134314295702,0.009028130817866015,0.002319797508862314,-0.03716334230371641,0.002785591493225442,-0.0020354250355871396,-5.071448757843064E-4,-0.0017412096873194586,0.04831349346265552,-0.016812492978949503,-0.004759325912397321,9.318779836915588E-4,0.001869727351899224,6.091225297873655E-4,-0.004415213164039176,-1.0955192099060393E-5,0.004375791796904454,-0.004394089918074373,-0.004026730980436663,-0.006704030414153547,0.002191170297037022,-0.003503047481773098]
